Anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences,src_port_same,dst_port_same
0x0806,38:4b:24:c9:15:f0,ff:ff:ff:ff:ff:ff,ARP,192.168.0.15,192.168.0.10,0,0,0,26,0,0
0x0806,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,ARP,192.168.0.10,192.168.0.15,0,0,0,13,0,0

Non anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,4024279
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO,0.0.0.0,0.0.0.0,0,0,0,4024226
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,31440
0x88cc,38:4b:24:c9:15:f3,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,805
0x88cc,38:4b:24:c9:15:f4,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,805
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO,0.0.0.0,0.0.0.0,0,0,0,31439
0x8892,28:63:36:79:aa:b6,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,3353
0x8892,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,3353
0x88cc,38:4b:24:c9:15:f1,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,805
0x88cc,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,804
0x88cc,28:63:36:79:aa:b6,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,804
