Anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences,src_port_same,dst_port_same
0x86dd,28:63:36:79:aa:b4,33:33:00:00:00:02,ICMPV6,0.0.0.0,0.0.0.0,0,0,0,2,0,0
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,TCP,192.168.0.10,192.168.0.15,6,0,80,50000,0,0
0x0800,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,TCP,192.168.0.15,192.168.0.10,6,0,4527,1,552,0
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO_DEVICE,192.168.0.10,192.168.0.20,1,0,0,12,0,0
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO_DEVICE,192.168.0.10,192.168.0.15,1,0,0,3,0,0
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO_CONTROLLER,192.168.0.10,192.168.0.15,1,0,0,1,0,0

Non anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,8122
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO,0.0.0.0,0.0.0.0,0,0,0,45050
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO,0.0.0.0,0.0.0.0,0,0,0,57
0x88cc,38:4b:24:c9:15:f4,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x8892,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,44
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,57
0x8892,28:63:36:79:aa:b6,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,44
0x88cc,38:4b:24:c9:15:f1,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x88cc,38:4b:24:c9:15:f3,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x88cc,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x88cc,28:63:36:79:aa:b6,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,10
0x0806,28:63:36:79:aa:b4,ff:ff:ff:ff:ff:ff,ARP,192.168.0.10,192.168.0.15,0,0,0,8
0x0806,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,ARP,192.168.0.15,192.168.0.10,0,0,0,3
0x8892,28:63:36:79:aa:b4,01:0e:cf:00:00:00,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,15
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,4
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,2
0x0806,28:63:36:79:aa:b4,ff:ff:ff:ff:ff:ff,ARP,192.168.0.10,192.168.0.20,0,0,0,8
0x0806,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,ARP,192.168.0.20,192.168.0.10,0,0,0,6
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO_DEVICE,192.168.0.10,192.168.0.20,17,0,0,6
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,DATA,0.0.0.0,0.0.0.0,0,0,0,38536
0x0800,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO_DEVICE,192.168.0.20,192.168.0.10,17,0,0,6
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,DATA,0.0.0.0,0.0.0.0,0,0,0,1596
0x0800,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO_CONTROLLER,192.168.0.20,192.168.0.10,17,0,0,2
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO_CONTROLLER,192.168.0.10,192.168.0.20,17,0,0,2
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO_DEVICE,192.168.0.10,192.168.0.15,17,0,0,3
0x0800,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO_DEVICE,192.168.0.15,192.168.0.10,17,0,0,3
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,DATA,0.0.0.0,0.0.0.0,0,0,0,289
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,DATA,0.0.0.0,0.0.0.0,0,0,0,289
0x0800,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO_CONTROLLER,192.168.0.15,192.168.0.10,17,0,0,1
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO_CONTROLLER,192.168.0.10,192.168.0.15,17,0,0,1
