Anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences,src_port_same,dst_port_same
0x0806,28:63:36:79:aa:b4,08:00:27:4f:bc:c1,ARP,192.168.0.10,192.168.0.60,0,0,0,4,0,0
0x0806,38:4b:24:c9:15:f0,08:00:27:4f:bc:c1,ARP,192.168.0.15,192.168.0.60,0,0,0,2,0,0
0x0806,00:1b:1b:26:f3:2d,08:00:27:4f:bc:c1,ARP,192.168.0.20,192.168.0.60,0,0,0,60,0,0
0x0800,08:00:27:4f:bc:c1,28:63:36:79:aa:b4,TCP,192.168.0.60,192.168.0.10,6,0,143,2,12160,0
0x0800,08:00:27:4f:bc:c1,00:1b:1b:26:f3:2d,TCP,192.168.0.60,192.168.0.20,6,0,143,4,8888,0
0x0800,28:63:36:79:aa:b4,08:00:27:4f:bc:c1,TCP,192.168.0.10,192.168.0.60,6,0,43769,12162,0,0
0x0800,08:00:27:4f:bc:c1,38:4b:24:c9:15:f0,TCP,192.168.0.60,192.168.0.15,6,0,143,1,2842,0
0x0800,38:4b:24:c9:15:f0,08:00:27:4f:bc:c1,TCP,192.168.0.15,192.168.0.60,6,0,43769,2806,17,0
0x0800,38:4b:24:c9:15:f0,08:00:27:4f:bc:c1,ICMP,192.168.0.15,192.168.0.60,1,0,0,380,0,0

Non anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO,0.0.0.0,0.0.0.0,0,0,0,57493
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,57492
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO,0.0.0.0,0.0.0.0,0,0,0,450
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,449
0x8892,28:63:36:79:aa:b6,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,48
0x8892,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,48
0x88cc,28:63:36:79:aa:b6,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,12
0x88cc,38:4b:24:c9:15:f1,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,12
0x88cc,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x88cc,38:4b:24:c9:15:f3,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x88cc,38:4b:24:c9:15:f4,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
