Anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences,src_port_same,dst_port_same
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,TCP,192.168.0.10,192.168.0.15,6,0,80,2,0,0
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,TCP,192.168.0.10,192.168.0.20,6,0,80,4,4,0
0x0800,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,TCP,192.168.0.15,192.168.0.10,6,0,55034,1,1,0
0x0806,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,ARP,0.0.0.0,0.0.0.0,0,0,0,1,0,0
0x0806,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,ARP,0.0.0.0,0.0.0.0,0,0,0,2,0,0

Non anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO,0.0.0.0,0.0.0.0,0,0,0,21042
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,21042
0x88cc,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,5
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO,0.0.0.0,0.0.0.0,0,0,0,164
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,164
0x8892,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,18
0x8892,28:63:36:79:aa:b6,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,17
0x88cc,28:63:36:79:aa:b6,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,4
0x88cc,38:4b:24:c9:15:f4,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,4
0x0806,28:63:36:79:aa:b4,ff:ff:ff:ff:ff:ff,ARP,0.0.0.0,0.0.0.0,0,0,0,1512
0x88cc,38:4b:24:c9:15:f1,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,4
0x88cc,38:4b:24:c9:15:f3,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,4
0x0806,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,ARP,0.0.0.0,0.0.0.0,0,0,0,1
0x0806,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,ARP,0.0.0.0,0.0.0.0,0,0,0,2
