eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences,capfiles
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO,0.0.0.0,0.0.0.0,0,0,0,132110,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,107953,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x88cc,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,52,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,1151,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO,0.0.0.0,0.0.0.0,0,0,0,1321,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x8892,28:63:36:79:aa:b6,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,178,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x88cc,38:4b:24:c9:15:f2,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,44,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x8892,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,206,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x88cc,28:63:36:79:aa:b6,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,46,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
0x88cc,38:4b:24:c9:15:f4,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,45,PCAP Normal Operation (Rust).pcapng; PCAP CPU Stop-Run.pcapng; PCAP CPU REM_IO Startup.pcapng; PCAP REM_IO_Disconnect.pcapng; PCAP CPU powerdip.pcapng; PCAP Normal Operation (IO aansturing).pcapng; PCAP CPU_Disconnect.pcapng; PCAP REM_IO_powerdip.pcapng; PCAP Download Program.pcapng
